Group,Fields in Group,Count,Purpose
Identity,"Lead_ID, Primary_Brand_Name, All_Brand_Names, Brand_Count, Trading_Address, Town, Postcode, Outer_Code, Inner_Code, Latitude, Longitude",11,Who and where; lat/long feeds NetSuite + TMS
Contact,"Phone_Mobile_1, Phone_Mobile_2, Phone_Landline_1, Phone_Landline_2, Phone_Landline_3, Phone_Sources, Website_URL, JustEat_URL, UberEats_URL, Deliveroo_URL",10,ALL numbers found across all sources — mobiles are priority
FSA Verification,"FSA_ID, FSA_Operator_Name, FSA_Business_Type, Hygiene_Rating, Last_Inspection_Date, FSA_Registrations_At_Address",6,Legitimacy; registration count splits multi-tenant buildings from multi-brand kitchens
Company Profile,"CH_Company_Name, CH_Number, CH_Status, Incorporation_Date, SIC_Code, Red_Flags, Director_1_Name, Director_1_Role, Director_1_LinkedIn, Director_2_Name, Director_2_Role, Director_2_LinkedIn, PSC_1_Name, PSC_1_LinkedIn, Directors_Other_Food_Companies, Directors_Other_Companies_List",16,CH matched by ADDRESS; director trace catches phoenix companies
CH Financials (Own Parser),"Accounts_Type, Accounts_Date, c_Total_Assets, c_Fixed_Assets, c_Current_Assets, c_Cash_At_Bank, c_Debtors, c_Creditors, c_Current_Liabilities, c_Net_Assets, p_Net_Assets, c_Equity, c_Turnover, c_Gross_Profit, c_Net_Profit, Employee_Count, Net_Assets_Growth, Financial_Label",18,"Parsed FREE from CH iXBRL filings — replicates DataLedger format (c_=current yr, p_=prior yr). Turnover/profit blank for most micro-entities. Financial_Label = our own formula verdict."
Platform,"Platforms_Count, JustEat_Rating, JustEat_Reviews, UberEats_Rating, UberEats_Reviews, Deliveroo_Rating, Deliveroo_Reviews, Cuisine_Type, Multi_Brand_Flag",9,Trading proof + size proxy from reviews
Scoring,"Lead_Score, Priority_Tier, Uniqueness_Pct, Legitimacy_Pct, Match_Flag_Colour, Matched_Account_Code, Match_Pct, Matched_Fields, Score_Breakdown",9,Calibrated model output; 80%+ match = auto-ignored to log
Pipeline,"Run_Date, Search_Code, Assigned_Rep, Lead_Status",4,Batch tracking; Search_Code accepts outer (TW) or inner (TW1) codes
Contact — Additional Sources,"WhatsApp_Link_Number, Website_Phone, Facebook_URL, Facebook_Phone",4,"WhatsApp link number extracted from Google/Facebook business page — TOP PRIORITY source, most likely to be the actual owner mobile for this demographic"
Trigger Scoring + Review Mining (NEW — conversion-focused),"Days_Since_FSA_Registration, New_Business_Flag, Recent_Ownership_Change_Flag, Ownership_Change_Date, Review_Trigger_Flag, Review_Trigger_Snippet, Review_Trigger_Source, Review_Trigger_Date, Trigger_Score_Bonus",9,"Timing-based buying signals: newly opened businesses and recent ownership changes have no incumbent supplier loyalty. Review mining flags businesses whose public reviews mention stock/quality/consistency complaints — a live signal their current supplier is failing them. Own-formula bonus applied on top of base score, shown separately for auditability."
